start,end,P,V,D
421,430,4680,10820,10
1608,1615,3470,9341,8
1714,1718,44600,59492,5
3366,3373,4080,6645,8
3399,3410,15900,43027,12
3434,3450,3310,21816,17
3574,3590,11300,40704,17
3705,3725,4410,35105,21
3774,3780,15000,37809,7
3820,3832,4380,15424,13
3913,3923,5620,16269,11
4194,4200,8620,16161,7
4294,4300,23900,35105,7
4610,4617,7140,18293,8
4672,4695,7550,44378,24
4795,4805,5720,21870,11
6110,6120,6180,20550,11
6345,6355,10300,31510,11
6365,6370,3830,8050,6
6384,6388,3480,5399,5
6800,6805,8250,12849,6
7322,7332,11100,43943,11
7948,7962,9560,33272,15
8624,8630,29700,52256,7
8666,8670,5250,7049,5
8692,8700,6050,18438,9
8893,8910,5400,38685,18
9327,9335,19700,44518,9
9418,9425,8670,28080,8
9617,9621,8930,12992,5
9737,9742,8490,19431,6
9800,9807,6680,12701,8
9893,9910,5900,41460,18
10000,10011,10500,39815,12
10335,10340,7600,12394,6
10697,10705,29900,56533,9
10723,10730,5000,13359,8
11171,11176,76500,136432,6
11208,11222,3650,19115,15
11402,11410,6380,25037,9
11474,11495,5200,48586,22
11939,11949,3570,11133,11
11977,11985,3940,11110,9
12162,12175,4970,20743,14
12209,12230,17400,84558,22
12332,12346,15400,39986,15
12551,12560,5700,17334,10
13514,13520,17000,26558,7
13652,13655,3980,6371,4
13670,13675,17400,24796,6
13807,13812,27600,34386,6
14128,14134,4990,9866,7
14149,14154,4620,7245,6
14164,14174,7090,23372,11
14235,14250,6530,42450,16
14393,14420,23700,202364,28
14442,14450,32000,54041,9
14803,14808,17000,22825,6
15462,15470,10900,27885,9
16059,16070,56000,147030,12
16096,16120,24400,109300,25
16126,16145,16700,82780,20
16158,16166,4720,22380,9
16212,16217,15700,37070,6
16224,16228,3530,12020,5
16729,16733,3290,4530,5
16934,16945,5590,18866,12
17316,17325,3970,12680,10
17833,17839,13600,21256,7
17948,17954,8020,13317,7
17991,18000,8550,27474,10
18037,18063,4370,48415,27
18070,18080,69400,156040,11
18337,18345,11000,27224,9
18497,18505,4130,8227,9
18552,18558,15600,25133,7
19290,19295,12400,18372,6
19299,19310,11200,45323,12
19600,19615,3510,14172,16
19677,19685,17000,42667,9
19904,19930,60000,321503,27
20550,20555,17300,26687,6
20614,20620,13300,26090,7
20628,20645,4930,45059,18
20750,20758,9940,21215,9
20772,20785,23000,68274,14
21619,21627,9200,15267.7,9
21634,21645,9250,33679,12
21694,21703,16200,40793,10
21750,21770,15400,77924,21
21777,21785,40600,73210,9
21797,21800,5280,11750,4
22751,22760,6810,16562,10
22895,22905,3420,9204.4,11
24608,24611,4880,12300,4
24614,24625,39200,90840,12
24774,24780,9690,14126,7
24975,25000,11400,96880,26
