start,end,P,V,D,year
480,490,3680,7674,11,1949
1352,1357,4380,8219,6,1951
1609,1615,4380,7833.6,7,1952
1714,1720,14400,23818,7,1952
3405,3412,3470,8848,8,1957
3656,3670,3200,11609.3,15,1958
3704,3711,17600,29787,8,1958
4559,4566,5760,12911,8,1960
4672,4690,7140,35128.4,19,1960
4745,4755,3130,11988.6,11,1960
5266,5273,3410,7360.2,8,1962
6689,6695,3650,7118.2,7,1966
6699,6707,7730,23317,9,1966
7202,7210,49500,155108.6,9,1967
7228,7234,6970,15498,7,1967
7433,7443,9160,32933,11,1968
7715,7730,3970,13802,16,1969
8654,8660,67200,117982,7,1971
8690,8698,5290,14208,9,1971
8892,8908,7950,41824,17,1972
9293,9302,9440,27663,10,1973
9307,9315,9830,26681,9,1973
9401,9406,3190,7854,6,1973
9415,9423,20700,53289,9,1973
9752,9760,8660,24125,9,1974
10220,10225,3590,7200,6,1975
10336,10343,3210,6137.7,8,1976
10367,10373,4200,10145,7,1976
10417,10428,9270,29741,12,1976
10529,10536,3790,9176,8,1976
10580,10587,4160,10522,8,1976
10759,10765,4160,9447,7,1977
11109,11120,3850,12922.1,12,1978
11584,11591,5740,15652,8,1979
11708,11715,4230,8464,8,1980
11910,11917,9240,21469,8,1980
12175,12184,5160,15010,10,1981
12215,12227,6550,35413,13,1981
12240,12248,5140,16275,9,1981
12357,12364,16600,41091,8,1981
12474,12482,6570,17031,9,1982
12562,12570,4620,12056,9,1982
12979,12989,9340,26906,11,1983
13073,13084,5720,22979,12,1983
13615,13624,4840,14494,10,1985
14300,14309,3090,7210,10,1987
14399,14414,4650,21707,16,1987
15538,15545,26300,60328,8,1990
16008,16014,3530,6656.6,7,1991
16060,16066,11500,24602,7,1991
16097,16103,4050,8647,7,1992
16123,16133,4270,14215,11,1992
16158,16164,4140,10107,7,1992
16166,16172,4050,9614,7,1992
16158,16163,4140,9922,6,1992
16166,16172,4050,9614,7,1992
16179,16185,5710,12452,7,1992
16222,16237,4610,20870,16,1992
16476,16483,5750,13653,8,1993
16507,16515,3370,7616,9,1993
16579,16591,3340,9897,13,1993
16606,16618,6420,30185,13,1993
16876,16883,4330,8760,8,1994
16936,16943,3450,8857,8,1994
17093,17100,7020,16292,8,1994
17708,17715,3430,8291,8,1996
17973,17980,4820,13479,8,1997
17990,17997,7320,19720,8,1997
18180,18190,10300,42155,11,1997
18496,18503,4740,11450,8,1998
18517,18529,4170,15754,13,1998
18553,18561,12500,37258,9,1998
18579,18588,5790,17319,10,1998
19484,19489,6440,13415,6,2001
19600,19610,32100,83935,11,2001
19678,19685,13000,32503.9,8,2001
19920,19928,3100,7117.4,9,2002
19974,19993,3340,17412,20,2002
20020,20030,6010,17653,11,2002
20031,20038,3810,9161,8,2002
20349,20360,3980,15481,12,2003
20547,20560,9340,47428,14,2004
20583,20595,9810,35798,13,2004
20877,20892,7480,29002.4,16,2005
21445,21451,3980,7470.8,7,2006
21573,21583,3360,13250.1,11,2007
21622,21629,3970,9828.8,8,2007
21640,21646,3710,7631.9,7,2007
21732,21743,12600,51358.5,12,2007
21755,21761,3800,11012,7,2007
22557,22564,3260,6470,8,2009
22604,22613,5950,17640.2,10,2009
22660,22669,4090,11970.9,10,2010
22680,22687,4640,11526,8,2010
22752,22760,3330,7527.4,9,2010
22907,22917,5840,19339.4,11,2010
23887,23894,4010,10312.24,8,2013
24575,24590,3940,17631,16,2015
24605,24621,5200,24611,17,2015
24640,24648,3690,8270.4,9,2015
25440,25449,4380,17041.9,10,2017
